"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2021,8,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3145,"3.2"
2021,8,5,"Sarrià-Sant Gervasi",23,"Sarrià",14867,"3.3"
2021,8,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9892,"3.9"
2021,8,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15912,"3.7"
2021,8,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29730,"3.6"
2021,8,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19256,"4.8"
2021,8,6,"Gràcia",28,"Vallcarca i els Penitents",10354,"5.8"
2021,8,6,"Gràcia",29,"el Coll",5100,"4.9"
2021,8,6,"Gràcia",30,"la Salut",8343,"6.2"
2021,8,6,"Gràcia",31,"la Vila de Gràcia",35004,"5.6"
2021,8,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22798,"5.6"
2021,8,7,"Horta-Guinardó",33,"el Baix Guinardó",16514,"6.0"
2021,8,7,"Horta-Guinardó",34,"Can Baró",6126,"6.1"
2021,8,7,"Horta-Guinardó",35,"el Guinardó",24380,"6.5"
2021,8,7,"Horta-Guinardó",36,"la Font d'en Fargues",5855,"8.3"
2021,8,7,"Horta-Guinardó",37,"el Carmel",21226,"7.8"
2021,8,7,"Horta-Guinardó",38,"la Teixonera",8045,"6.4"
2021,8,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4655,"6.7"
2021,8,7,"Horta-Guinardó",40,"Montbau",3227,"7.0"
2021,8,7,"Horta-Guinardó",41,"la Vall d'Hebron",3584,"6.7"
2021,8,7,"Horta-Guinardó",42,"la Clota",497,"3.4"
2021,8,7,"Horta-Guinardó",43,"Horta",17761,"7.8"
2021,8,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16331,"7.9"
2021,8,8,"Nou Barris",45,"Porta",18175,"6.9"
2021,8,8,"Nou Barris",46,"el Turó de la Peira",10640,"7.5"
2021,8,8,"Nou Barris",47,"Can Peguera",1409,"7.9"
2021,8,8,"Nou Barris",48,"la Guineueta",9053,"9.8"
2021,8,8,"Nou Barris",49,"Canyelles",4001,"10.8"
2021,8,8,"Nou Barris",50,"les Roquetes",11034,"8.5"
2021,8,8,"Nou Barris",51,"Verdun",8387,"8.6"
2021,8,8,"Nou Barris",52,"la Prosperitat",16804,"8.4"
2021,8,8,"Nou Barris",53,"la Trinitat Nova",5187,"12.0"
2021,8,8,"Nou Barris",54,"Torre Baró",1994,"8.6"
2021,8,8,"Nou Barris",55,"Ciutat Meridiana",7292,"12.3"
2021,8,8,"Nou Barris",56,"Vallbona",909,"11.5"
2021,8,9,"Sant Andreu",57,"la Trinitat Vella",7075,"11.8"
2021,8,9,"Sant Andreu",58,"Baró de Viver",1781,"6.6"
2021,8,9,"Sant Andreu",59,"el Bon Pastor",9218,"7.2"
2021,8,9,"Sant Andreu",60,"Sant Andreu",36970,"7.3"
2021,8,9,"Sant Andreu",61,"la Sagrera",18532,"6.8"
2021,8,9,"Sant Andreu",62,"el Congrés i els Indians",9586,"6.4"
2021,8,9,"Sant Andreu",63,"Navas",14318,"6.6"
2021,8,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25554,"6.8"
2021,8,10,"Sant Martí",65,"el Clot",17821,"6.9"
2021,8,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10651,"5.7"
2021,8,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6510,"6.1"
2021,8,10,"Sant Martí",68,"el Poblenou",23431,"5.8"
2021,8,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8855,"7.2"
2021,8,10,"Sant Martí",70,"el Besòs i el Maresme",17974,"8.1"
2021,8,10,"Sant Martí",71,"Provençals del Poblenou",14227,"6.8"
